Column,Accuracy,Precision,Recall,F1
Decision_DT_All,0.4807692307692308,0.38252923976608183,0.3831494893994894,0.369821891903229
Decision_RF_All,0.5480769230769231,0.41613756613756614,0.35960150960150966,0.36279084016175794
Decision_LR_All,0.5576923076923077,0.43392048564462354,0.4167304917304917,0.4037134627021108
Decision_SVM_All,0.5384615384615384,0.25631136044880787,0.33482142857142855,0.2894650463841624
Decision_DT_n46,0.47115384615384615,0.3641480741480742,0.3450452325452325,0.3412648552892455
Decision_RF_n46,0.5384615384615384,0.41076649958228906,0.3673257298257298,0.3695058536235007
Decision_LR_n46,0.5576923076923077,0.4759615384615385,0.37474816849816844,0.3687377509401981
Decision_SVM_n46,0.5865384615384616,0.3522041062801933,0.3770833333333334,0.3483178872814949
Decision_DT_n40,0.5673076923076923,0.45478395061728394,0.37293956043956045,0.33850839083397216
Decision_RF_n40,0.5480769230769231,0.32058192036879163,0.3595238095238095,0.3305898976785053
Decision_LR_n40,0.5576923076923077,0.3266254025764895,0.3761904761904762,0.3468711420582216
Decision_SVM_n40,0.5673076923076923,0.344532279314888,0.36339285714285713,0.32520799967365643
Decision_DT_n4610,0.4807692307692308,0.3765182884748102,0.3467900155400156,0.3365406352273657
Decision_RF_n4610,0.5576923076923077,0.4924463937621832,0.3774267399267399,0.37702020202020203
Decision_LR_n4610,0.5192307692307693,0.3739402958152958,0.3449723887223887,0.33004860636439587
Decision_SVM_n4610,0.5480769230769231,0.333106884057971,0.3532738095238095,0.3276002946889023
Decision_DT_n4010,0.5384615384615384,0.33246726417493006,0.35892857142857143,0.31943235939330744
Decision_RF_n4010,0.5576923076923077,0.3262903635901348,0.3663690476190476,0.34012774801824236
Decision_LR_n4010,0.5384615384615384,0.48601532567049816,0.35865384615384616,0.34670650986440466
Decision_SVM_n4010,0.5673076923076923,0.344532279314888,0.36339285714285713,0.32520799967365643
Fuel_n46,0.40384615384615385,0.2750225964511679,0.30092526521097945,0.2585534384314872
Moisture_n46,0.4326923076923077,0.2600250626566416,0.2370873174444603,0.24454418820616003
Topology/Geography_n46,0.41346153846153844,0.20757293931693344,0.23828849721706866,0.2096197030445486
Weather_n46,0.36538461538461536,0.2775321492233257,0.26440226440226444,0.2339020628494313
Fuel_n40,0.4230769230769231,0.25408138401559455,0.30335983460983457,0.24168311294191577
Moisture_n40,0.49038461538461536,0.3896950875211745,0.32470238095238096,0.2817003993772423
Topology/Geography_n40,0.49038461538461536,0.23750541672685252,0.3273809523809524,0.25465616411765307
Weather_n40,0.46153846153846156,0.33209876543209876,0.32532051282051283,0.23150183150183148
Prediction_n16,0.36538461538461536,0.3313568376068376,0.346507659007659,0.27680213272779897
Prediction_n10,0.40384615384615385,0.3779820261437908,0.3664529914529915,0.28311409256517606
Prediction_ns6,0.5288461538461539,0.2063131313131313,0.2994227994227994,0.2437881752950246
Prediction_ns0,0.2692307692307692,0.1995657568238213,0.25405844155844154,0.2016850203215235
