Path,Current_Day_Fire_Count,Ground_Truth,"Group VIIRS band M11, VIIRS band I2, VIIRS band I1, NDVI, EVI2, total precipitation, wind speed, wind direction, minimum temperature, maximum temperature, energy release component, specific humidity, slope, aspect, elevation, Palmer drought severity index, landcover class, forecast total precipitation, forecast wind speed, forecast wind direction, forecast temperature, forecast specific humidity, current active fires_GeminiResponse"
"PNGs\2021\fire_25411006\2021-10-01_lnglat_(-115.04290588112657, 44.69872012295532)\active fires_range(0.0,2054.0)_fc(28).png",28,Larger Active Fire,"Similar Active Fire.   The current active fire map shows a few active fires. There is a slight increase in wind speed, but the forecast precipitation is low, and the humidity is similar. These factors don't suggest a dramatic change in fire size. Therefore, it is likely that the fire will remain similar in size on the next day. "
"PNGs\2019\fire_23410594\2019-11-01_lnglat_(-122.7686129844284, 38.68412549530799)\active fires_range(0.0,954.0)_fc(4).png",4,No Active Fire,Similar Active Fire. There is only one active fire pixel on both days so it will likely stay similar in size. 
"PNGs\2020\fire_24333279\2020-08-29_lnglat_(-107.01818811466386, 45.66929343427405)\active fires_range(0.0,0.0)_fc(0).png",0,No New Active Fire,"No New Active Fire.   The “current active fires” image shows no fires present. There is a very small amount of precipitation predicted for the next day, which could help with reducing fire risk. Even though temperatures are predicted to increase, the wind speed is predicted to be low. This means there will be fewer opportunities for new fires to start and fewer opportunities for existing fires to spread. "
"PNGs\2020\fire_24332746\2020-08-14_lnglat_(-122.23290167483688, 37.1440240679384)\active fires_range(0.0,0.0)_fc(0).png",0,New Active Fire,"No New Active Fire. There is a small amount of predicted precipitation and the forecast wind speed is quite low. Both of these factors will help to dampen a potential new wildfire.  Additionally, the current active fires image does not show any new fires.  While there are some pixels that are not purple on the forecast total precipitation image, they are light, indicating very little precipitation, and thus, a low likelihood of a new fire."
"PNGs\2020\fire_24463187\2020-08-28_lnglat_(-106.83562177307978, 47.32498806283479)\active fires_range(0.0,0.0)_fc(0).png",0,No New Active Fire,"No New Active Fire.  The VIIRS band M11 image shows a small, isolated hotspot, which indicates the presence of an active fire. However, the current active fires image shows no active fire, suggesting that the hotspot might be an anomaly, or the fire has already extinguished.  Furthermore, the forecast wind direction is southwest, the forecast temperature is around 19°C, and the forecast specific humidity is around 0.0052. The forecast precipitation is between 6.5 to 25.625.  These conditions imply that the area is likely to receive some rainfall in the coming days, which will help dampen the fuels. The moderate wind speed and direction suggest that the fire is unlikely to spread significantly.   Therefore, based on the available information, it is likely that no new wildfire will start in the next day."
"PNGs\2019\fire_23159862\2019-08-22_lnglat_(-111.82916204420995, 40.07586782323453)\active fires_range(0.0,1024.0)_fc(141).png",141,No Active Fire,"Similar Active Fire  The forecast precipitation is extremely low and while the forecast temperature is slightly higher, the forecast humidity is also higher, suggesting a slight moderation in dry conditions. The wind forecast does not suggest increased wind speed. All of these suggest that the fire will likely remain similar in size."
"PNGs\2018\fire_21890024\2018-07-24_lnglat_(-114.05661649955887, 43.54010437360627)\active fires_range(0.0,0.0)_fc(0).png",0,No New Active Fire,"New Active Fire  The forecast temperature (15.686 to 27.8392) is relatively warm. There is a low amount of precipitation (0.0 to 9.6875) predicted and the specific humidity (0.0045487387 to 0.0055874055) is relatively low. These factors combined can indicate dry fuels and increase the chances of ignition. The current active fire situation (0.0 to 0.0) shows no active fire in the area. But with all the factors that are conducive to fire, it is likely that new fire ignition is highly possible in the next day. "
"PNGs\2019\fire_23036877\2019-07-31_lnglat_(-115.64007431552714, 42.2615979523051)\active fires_range(0.0,0.0)_fc(0).png",0,No New Active Fire,"New Active Fire  The current active fires image shows that there is currently one active fire. The forecast total precipitation is small but present, with the wind speed forecast to increase. The predicted maximum temperature is also fairly high. All of these factors increase the likelihood of a new fire ignition. However, the forecast specific humidity is not overly low. As a result, the conditions will likely support a fire that is similar in size to the current fire. "
"PNGs\2021\fire_25295089\2021-07-07_lnglat_(-122.66645243646045, 43.28145795456338)\active fires_range(0.0,2106.0)_fc(84).png",84,Larger Active Fire,"Smaller Active Fire  The forecast wind speed is low (0.805614 to 2.2759743), the forecast wind direction is southwesterly, and the forecast temperature is above 18.948895. Although there is a forecast for precipitation (0.0 to 0.0), the forecast temperature and wind conditions are still conducive for the fire to continue, but the low wind speed might indicate a smaller active fire than the day before. "
"PNGs\2020\fire_24191419\2020-07-18_lnglat_(-111.34114096240756, 34.04009066485863)\active fires_range(0.0,2000.0)_fc(23).png",23,Larger Active Fire,"Similar Active Fire  The current day active fire map shows a fire in a single pixel.  We see high forecasted wind speed and forecasted temperature.  This suggests the possibility of fire spread.  However, we also see a relatively high forecast total precipitation, which would reduce the fire risk.  Considering the possibility of fire spread and potential dampening effect of precipitation, the most likely outcome is a Similar Active Fire. "
"PNGs\2021\fire_25205362\2021-07-03_lnglat_(-108.84186187393551, 39.74240922038033)\active fires_range(0.0,912.0)_fc(6).png",6,No Active Fire,"Similar Active Fire  The images show a very small active fire on the current day, and the forecast is indicating a similar size fire.  Since the forecast shows the fire may be similar in size, this suggests there may be a similar amount of active fire the next day as well.  The wind speed, wind direction, and humidity forecast all suggest a small increase in fire risk, but no significant changes that would create a substantially larger fire."
"PNGs\2019\fire_23160475\2019-08-12_lnglat_(-118.48686415923841, 47.97097576444181)\active fires_range(0.0,0.0)_fc(0).png",0,No New Active Fire,"New Active Fire. There is no precipitation forecast for the next day, and the forecast for wind speed and temperature are on the higher end of the spectrum. Although the specific humidity is forecast to increase, it's not enough to offset the dry conditions and increased wind speed. As the landcover class indicates, this is an area with a lot of forest, which is good fuel for a wildfire. Based on all of this information, we can assume there will be a new wildfire in the area, albeit a smaller fire than the one currently burning. "
